NHL season,W Regular Season,L Regular Season,T Regular Season,W Postseason,L Postseason,T Postseason
1926–27,12,28,4,—,—,—
1927–28,19,19,6,—,—,—
1928–29,19,16,9,0,2,0
1929–30,14,24,6,—,—,—
1930–31,16,21,7,—,—,—
1931–32,18,20,10,0,1,1
1932–33,25,15,8,2,2,0
1933–34,24,14,10,4,5,0
1934–35,19,22,7,—,—,—
1935–36,24,16,8,6,1,0
1936–37,25,14,9,6,4,0
1937–38,12,25,11,—,—,—
1938–39,18,24,6,3,3,0
1939–40,16,26,6,2,3,0
1940–41,21,16,11,4,5,0
1941–42,19,25,4,7,5,0
1942–43,25,14,11,8,2,0
1943–44,26,18,6,1,4,0
1944–45,31,14,5,7,7,0
1945–46,20,20,10,1,4,0
1946–47,22,27,11,1,4,0
1947–48,30,18,12,4,6,0
1948–49,34,19,7,4,7,0
1949–50,37,19,14,8,6,0
1950–51,44,13,13,2,4,0
1951–52,44,14,12,8,0,0
1952–53,36,16,18,2,4,0
1953–54,37,19,14,8,4,0
1954–55,42,17,11,8,3,0
1955–56,30,24,16,5,5,0
1956–57,38,20,12,1,4,0
1957–58,29,29,12,0,4,0
1958–59,25,37,8,—,—,—
1959–60,26,29,15,2,4,0
1960–61,25,29,16,6,5,0
1961–62,23,33,14,—,—,—
1962–63,32,25,13,5,6,0
1963–64,30,29,11,7,7,0
1964–65,40,23,7,3,4,0
1965–66,31,27,12,6,6,0
1966–67,27,39,4,—,—,—
1967–68,27,35,12,—,—,—
1968–69,33,31,12,—,—,—
1969–70,40,21,15,0,4,0
1970–71,22,45,11,—,—,—
1971–72,33,35,10,—,—,—
1972–73,37,29,12,—,—,—
1973–74,29,39,10,—,—,—
1974–75,23,45,12,—,—,—
1975–76,26,44,10,—,—,—
1976–77,16,55,9,—,—,—
1977–78,32,34,14,3,4,0
1978–79,23,41,16,—,—,—
1979–80,26,43,11,—,—,—
1980–81,19,43,18,—,—,—
1981–82,21,47,12,—,—,—
1982–83,21,44,15,—,—,—
1983–84,31,42,7,1,3,0
1984–85,27,41,12,0,3,0
1985–86,17,57,6,—,—,—
1986–87,34,36,10,9,7,0
1987–88,41,28,11,9,7,0
1988–89,34,34,12,2,4,0
1989–90,28,38,14,—,—,—
1990–91,34,38,8,3,4,0
1991–92,43,25,12,4,7,0
1992–93,47,28,9,3,4,0
1993–94,46,30,8,3,4,0
1994–95[j],33,11,4,12,6,0
1995–96,62,13,7,10,9,0
1996–97,38,26,18,16,4,0
1997–98,44,23,15,16,6,0
1998–99,43,32,7,6,4,0
1999–2000,48,22,10,5,4,0
2000–01,49,20,9,2,4,0
2001–02,51,17,10,16,7,0
2002–03,48,20,10,0,4,0
2003–04,48,21,11,6,6,0
2004–05[l],—,—,—,—,—,—
2005–06,58,16,—[m],2,4,0
2006–07,50,19,—,10,8,0
2007–08,54,21,—,16,6,0
2008–09,51,21,—,15,8,0
2009–10,44,24,—,5,7,0
2010–11,47,25,—,7,4,0
2011–12,48,28,—,1,4,0
2012–13[n],24,16,—,7,7,0
2013–14,39,28,—,1,4,0
2014–15,43,25,—,3,4,0
2015–16,41,30,—,1,4,0
2016–17,33,36,—,—,—,—
2017–18,30,39,—,—,—,—
2018–19,32,40,—,—,—,—
2019–20 [p],17,49,—,—,—,—
